"Gene","Cluster","Percent_Expressing","Average_Expression","Cell_Count"
"COL6A1","0",76.14,1.338,725
"COL6A1","1",94.84,1.581,678
"COL6A1","2",65.43,1.109,567
"COL6A1","3",80.48,1.044,292
"COL6A1","4",96.5,1.278,143
"COL6A1","5",59.86,2.041,142
"COL6A1","6",27.27,2.322,77
"COL6A1","7",19.57,2.174,46
"COL6A1","8",77.78,1.012,36
"COL6A2","0",83.72,1.588,725
"COL6A2","1",98.08,1.808,678
"COL6A2","2",72.84,1.339,567
"COL6A2","3",82.88,1.259,292
"COL6A2","4",97.9,1.615,143
"COL6A2","5",68.31,2.111,142
"COL6A2","6",33.77,2.459,77
"COL6A2","7",30.43,2.126,46
"COL6A2","8",91.67,1.223,36
"COL6A3","0",6.62,0.757,725
"COL6A3","1",10.18,0.557,678
"COL6A3","2",7.05,0.866,567
"COL6A3","3",10.27,0.565,292
"COL6A3","4",6.29,0.368,143
"COL6A3","5",19.72,1.374,142
"COL6A3","6",2.6,1.899,77
"COL6A3","7",13.04,2.121,46
"COL6A3","8",2.78,0.347,36
